"seller","day_of_week","income"
Ann Dull,Saturday ,37658782
Stearns MacFeather,Saturday ,27623848
Dirk Stringer,Sunday   ,698820601
Michel DeFrance,Sunday   ,438321489
Albert Ringer,Sunday   ,362985487
Heather McBadden,Sunday   ,266458385
Innes del Castillo,Sunday   ,244679492
Abraham Bennet,Sunday   ,232328748
Dean Straight,Sunday   ,176873006
Sheryl Hunter,Sunday   ,148514539
Livia Karsen,Sunday   ,137975385
Michael O'Leary,Sunday   ,125981635
Burt Gringlesby,Sunday   ,112782281
Marjorie Green,Sunday   ,104815534
Sylvia Panteley,Sunday   ,95337213
Charlene Locksley,Sunday   ,93745117
Johnson White,Sunday   ,88933984
Reginald Blotchet-Halls,Sunday   ,80496473
Cheryl Carson,Sunday   ,69553596
Morningstar Greene,Sunday   ,68473054
Meander Smith,Sunday   ,56678280
Anne Ringer,Sunday   ,49050829
Ann Dull,Sunday   ,34138288
Stearns MacFeather,Sunday   ,27431435
